planta,empresa,tipo_de_generacion,renovable,ano,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,y,x
Fortuna,ENEL,Hidroelectrica,TRUE,2019,"179,350.54","171,439.14","170,061.14","130,845.00","121,611.45","153,151.22","163,426.18","158,475.89","75,985.32","74,780.32","126,050.43","140,946.88",8.71139,-82.171363
Bayano,AES Pmá,Hidroelectrica,TRUE,2019,"33,979.63","31,247.24","29,869.24","16,882.00","20,994.16","31,403.82","33,428.57","59,080.78","7,132.22","5,927.22","20,002.23","15,329.80",9.176422,-78.884683
Estrella,AES Pmá,Hidroelectrica,TRUE,2019,"9,067.63","8,569.78","7,391.78","7,652.00","16,395.82","15,281.14","13,993.65","13,206.15","14,731.98","13,526.98","16,729.85","14,959.17",9.385218,-79.816099
Valles,AES Pmá,Hidroelectrica,TRUE,2019,"10,613.70","10,030.48","8,652.48","7,943.00","20,380.32","19,839.58","17,029.33","17,159.52","20,443.67","19,238.67","22,072.99","17,568.99",8.677877,-82.347535
Estí,AES Pmá,Hidroelectrica,TRUE,2019,"33,092.74","31,057.99","29,679.99","23,696.00","34,657.55","46,227.06","39,096.74","40,679.40","42,932.88","41,727.88","41,879.41","34,177.97",8.543417,-82.347535
Estrella de Mar,AES Pmá,Termica,TRUE,2019,"14,110.38","13,762.97","12,453.97","43,525.00","31,634.79",622.406,"6,491.60","10,849.09","4,961.25","3,756.25","1,097.98","19,068.79",9.385728,-79.816792
Changinola,AES Chan,Hidroelectrica,TRUE,2019,"19,150.35","17,381.82","16,003.82","6,944.00","7,135.34","6,875.35","6,999.33","7,077.55","5,892.60","4,687.60","6,905.91","7,852.28",9.236601,-82.494667
Gas Atlántico,AES Colón,Termica,FALSE,2019,"234,591.15","226,234.94","224,878.94","222,176.00","251,028.77","33,505.79","249,135.54","222,630.57","246,130.06","244,826.06","240,688.39","248,338.01",9.34273,-79.905052
Alternegy (Lorena y Prudencia),CELSIA,Hidroelectrica,TRUE,2019,"19,926.80","18,715.37","17,337.37","22,899.00","22,899.39","9,021.70","28,100.48","24,229.11","29,016.93","27,811.93","29,527.69","22,355.29",8.454849,-82.333574
Bontex (Gualaca),CELSIA,Hidroelectrica,TRUE,2019,"6,220.94","5,854.90","4,643.90","3,872.86","6,404.36",0,"7,902.34","7,846.78","8,959.32","7,754.32","8,482.12","6,589.26",8.534064,-82.296393
IDB (Cativa),CELSIA,Termica,FALSE,2019,387.545,129.182,"1,248.82","16,544.47",0,"36,946.62",250.217,"2,086.74","4,040.55","2,734.55",831.565,0,9.378744,-79.823024
PanAm,PAN AM,Termica,FALSE,2019,"39,504.06","36,117.63","34,830.63","69,441.00","92,149.55","2,953.23","48,878.15","50,958.24","31,757.92","30,552.92","43,472.36","49,189.67",8.908544,-79.780931
Pacora,PEDREGAL,Termica,FALSE,2019,905.566,529.783,-848.217,"13,879.00","19,774.98","16,460.68","11,490.59","37,552.74","52,834.20","51,513.20","32,108.69","70,850.63",9.104181,-79.272593
Ideal (Baitun y Bajo de Mina),IDEAL,Hidroelectrica,TRUE,2019,"18,770.46","18,009.23","16,544.23","40,856.00","9,952.46","47,547.72",161.025,"2,604.28","3,154.01","1,949.01",644.954,594.552,8.7163,-82.832601
El Alto,Hidro Caisán ,Hidroelectrica,TRUE,2019,"8,538.81","8,252.56","6,874.56","6,572.71","40,856.90","18,989.89","38,543.86","30,822.66","47,641.04","46,436.04","48,785.43","27,671.68",8.758936,-82.834571
Bajo Frío,Fountain,Hidroelectrica,TRUE,2019,"6,821.84","6,508.88","5,130.88","5,685.00","16,786.09","19,531.23","15,116.67","12,235.44","18,735.41","17,530.41","17,974.20","11,414.91",8.594327,-82.786603
Bonyic,H Eco Teribe,Hidroelectrica,TRUE,2019,"3,019.90","2,870.82","1,492.82","9,553.15","19,296.36","14,219.82","15,975.10","14,006.35","19,688.40","18,301.40","19,999.38","10,620.04",9.324656,-82.641349
Barro Blanco,Genisa,Hidroelectrica,TRUE,2019,"4,633.84","4,444.45","3,066.45","2,628.42","17,380.64","11,251.21","11,237.91","10,176.70","7,905.30","6,700.30","10,656.96","8,637.84",8.215101,-81.593926
ACP,ACP,Termica,FALSE,2019,"24,841.92","23,233.58","21,855.58","19,542.00","9,748.00",134.436,"9,336.48","5,889.26","10,170.22","8,965.22","11,457.62","6,549.85",9.000324,-79.590556
Monte Lirio,EISA,Hidroelectrica,TRUE,2019,"14,560.96","13,907.81","12,529.81","10,004.00","30,165.81","22,976.92","29,794.29","37,368.23","41,292.81","40,087.81","17,289.44","29,395.42",8.769129,-82.82191
UEP  ,UEP ,Eolica,TRUE,2019,"144,068.25","137,673.78","136,295.78","85,943.00","41,777.06","23,521.40","19,799.75","16,848.92","23,005.27","21,610.27","38,102.67","30,587.54",8.46629,-80.380089
Otros19,Otros19,Otros,TRUE,2019,"60,598.82","58,318.05","56,940.05","58,932.01","22,521.09","33,060.49","38,441.55","29,384.40","28,054.85","26,849.85","23,848.51","44,943.60",9.036862,-79.526034
Fortuna,ENEL,Hidroelectrica,TRUE,2020,"81,895.18","145,529.67","144,661.67","147,313.54","73,791.04","76,191.04","180,573.12","133,925.42","81,255.12","45,631.11","153,783.91","170,296.08",8.71139,-82.171363
Bayano,AES Pmá,Hidroelectrica,TRUE,2020,"10,350.24","31,862.74","31,594.74","20,352.99","32,760.30","34,660.30","87,191.79","78,407.04","49,715.11","86,856.39","51,880.77","43,162.29",9.176422,-78.884683
Estrella,AES Pmá,Hidroelectrica,TRUE,2020,"15,997.21","12,499.74","12,231.74","4,897.84","10,482.92","10,482.92","16,000.49","18,085.03","18,957.90","24,426.17","24,464.78","21,217.98",9.385218,-79.816099
Valles,AES Pmá,Hidroelectrica,TRUE,2020,"17,793.60","14,190.93","13,922.93","5,586.95","12,495.63","21,495.63","21,722.27","25,941.73","29,900.51","34,053.98","32,875.77","27,676.33",8.677877,-82.347535
Estí,AES Pmá,Hidroelectrica,TRUE,2020,"24,090.32","30,491.70","30,252.70","26,508.96","22,456.94","22,456.94","58,285.04","63,525.56","67,600.33","71,634.54","80,557.19","53,109.91",8.543417,-82.347535
Estrella de Mar,AES Pmá,Termica,FALSE,2020,"12,102.23",484.898,216.898,312.553,0,0,"6,308.55",0,0,0,0,0,9.385728,-79.816792
Changinola,AES Chan,Hidroelectrica,TRUE,2020,"83,820.83","66,205.43","65,937.43","44,270.78","60,183.11","57,983.11","72,040.23","70,940.94","84,101.90","105,060.85","76,155.21","94,044.94",9.236601,-82.494667
